Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Opossum gene name	Opossum gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSSHAG00000009713	ENSSHAG00000009713.1	ENSSHAT00000011386	ENSSHAT00000011386.1	MAN2A2	ENSMODG00000019461	MAN2A2	GL834472.1	577921	596094
ENSSHAG00000009714	ENSSHAG00000009714.1	ENSSHAT00000011387	ENSSHAT00000011387.1	PHKG2	ENSMODG00000001619	PHKG2	GL841507.1	578135	584924
ENSSHAG00000009715	ENSSHAG00000009715.1	ENSSHAT00000011388	ENSSHAT00000011388.1		ENSMODG00000038446		GL841475.1	578225	654884
ENSSHAG00000009715	ENSSHAG00000009715.1	ENSSHAT00000011389	ENSSHAT00000011389.1		ENSMODG00000038446		GL841475.1	578225	654884
ENSSHAG00000009715	ENSSHAG00000009715.1	ENSSHAT00000011390	ENSSHAT00000011390.1		ENSMODG00000038446		GL841475.1	578225	654884
ENSSHAG00000009715	ENSSHAG00000009715.1	ENSSHAT00000011388	ENSSHAT00000011388.1		ENSMODG00000012388		GL841475.1	578225	654884
ENSSHAG00000009715	ENSSHAG00000009715.1	ENSSHAT00000011389	ENSSHAT00000011389.1		ENSMODG00000012388		GL841475.1	578225	654884
ENSSHAG00000009715	ENSSHAG00000009715.1	ENSSHAT00000011390	ENSSHAT00000011390.1		ENSMODG00000012388		GL841475.1	578225	654884
ENSSHAG00000009715	ENSSHAG00000009715.1	ENSSHAT00000011388	ENSSHAT00000011388.1		ENSMODG00000000544		GL841475.1	578225	654884
ENSSHAG00000009715	ENSSHAG00000009715.1	ENSSHAT00000011389	ENSSHAT00000011389.1		ENSMODG00000000544		GL841475.1	578225	654884
ENSSHAG00000009715	ENSSHAG00000009715.1	ENSSHAT00000011390	ENSSHAT00000011390.1		ENSMODG00000000544		GL841475.1	578225	654884
ENSSHAG00000009716	ENSSHAG00000009716.1	ENSSHAT00000011391	ENSSHAT00000011391.1	GYG2	ENSMODG00000000060	GYG2	GL849822.1	578477	632402
ENSSHAG00000009717	ENSSHAG00000009717.1	ENSSHAT00000011392	ENSSHAT00000011392.1	WDR48	ENSMODG00000013437	WDR48	GL841626.1	578622	612685
ENSSHAG00000009717	ENSSHAG00000009717.1	ENSSHAT00000011393	ENSSHAT00000011393.1	WDR48	ENSMODG00000013437	WDR48	GL841626.1	578622	612685
ENSSHAG00000009718	ENSSHAG00000009718.1	ENSSHAT00000011394	ENSSHAT00000011394.1				GL834763.1	578782	579255
ENSSHAG00000009719	ENSSHAG00000009719.1	ENSSHAT00000011395	ENSSHAT00000011395.1	ZBTB20	ENSMODG00000018181	ZBTB20	GL849574.1	578821	642243
ENSSHAG00000009719	ENSSHAG00000009719.1	ENSSHAT00000011396	ENSSHAT00000011396.1	ZBTB20	ENSMODG00000018181	ZBTB20	GL849574.1	578821	642243
ENSSHAG00000009720	ENSSHAG00000009720.1	ENSSHAT00000011397	ENSSHAT00000011397.1	SARDH	ENSMODG00000013033	SARDH	GL834654.1	578843	713011
ENSSHAG00000009721	ENSSHAG00000009721.1	ENSSHAT00000011398	ENSSHAT00000011398.1	ABCE1	ENSMODG00000000465	ABCE1	GL864823.1	578877	594535
ENSSHAG00000009722	ENSSHAG00000009722.1	ENSSHAT00000011399	ENSSHAT00000011399.1	SELP	ENSMODG00000003164	SELP	GL856751.1	579294	615860
ENSSHAG00000009722	ENSSHAG00000009722.1	ENSSHAT00000011400	ENSSHAT00000011400.1	SELP	ENSMODG00000003164	SELP	GL856751.1	579294	615860
ENSSHAG00000009723	ENSSHAG00000009723.1	ENSSHAT00000011401	ENSSHAT00000011401.1	SRI	ENSMODG00000010355	SRI	GL861688.1	579686	602537
ENSSHAG00000009724	ENSSHAG00000009724.1	ENSSHAT00000011402	ENSSHAT00000011402.1	CPM	ENSMODG00000007140	CPM	GL861557.1	579872	649516
ENSSHAG00000009725	ENSSHAG00000009725.1	ENSSHAT00000011403	ENSSHAT00000011403.1	MEOX2	ENSMODG00000050465		GL861712.1	580222	604873
ENSSHAG00000009726	ENSSHAG00000009726.1	ENSSHAT00000011404	ENSSHAT00000011404.1		ENSMODG00000044954		GL849735.1	580454	581407
ENSSHAG00000009727	ENSSHAG00000009727.1	ENSSHAT00000011405	ENSSHAT00000011405.1	GLI3	ENSMODG00000002714	GLI3	GL841630.1	580510	828420
ENSSHAG00000009728	ENSSHAG00000009728.1	ENSSHAT00000011406	ENSSHAT00000011406.1		ENSMODG00000044048		GL849739.1	580783	581727
ENSSHAG00000009728	ENSSHAG00000009728.1	ENSSHAT00000011406	ENSSHAT00000011406.1		ENSMODG00000040535		GL849739.1	580783	581727
ENSSHAG00000009729	ENSSHAG00000009729.1	ENSSHAT00000011407	ENSSHAT00000011407.1	SNTN	ENSMODG00000050561	SNTN	GL841587.1	580806	598188
ENSSHAG00000009730	ENSSHAG00000009730.1	ENSSHAT00000011408	ENSSHAT00000011408.1	AKAP5	ENSMODG00000009460	AKAP5	GL834546.1	580809	582149
ENSSHAG00000009731	ENSSHAG00000009731.1	ENSSHAT00000011409	ENSSHAT00000011409.1	TM9SF2	ENSMODG00000007786	TM9SF2	GL849852.1	580859	626955
ENSSHAG00000009732	ENSSHAG00000009732.1	ENSSHAT00000011410	ENSSHAT00000011410.1	SPATA6	ENSMODG00000001370	SPATA6	GL856724.1	581091	681919
ENSSHAG00000009732	ENSSHAG00000009732.1	ENSSHAT00000011411	ENSSHAT00000011411.1	SPATA6	ENSMODG00000001370	SPATA6	GL856724.1	581091	681919
ENSSHAG00000009733	ENSSHAG00000009733.1	ENSSHAT00000011412	ENSSHAT00000011412.1	GNAQ	ENSMODG00000012943	GNAQ	GL841547.1	581304	982762
ENSSHAG00000009734	ENSSHAG00000009734.1	ENSSHAT00000011413	ENSSHAT00000011413.1	ELOVL2	ENSMODG00000049964	ELOVL2	GL841349.1	581464	618382
ENSSHAG00000009735	ENSSHAG00000009735.1	ENSSHAT00000011414	ENSSHAT00000011414.1		ENSMODG00000009976	IGSF8	GL856808.1	581632	587157
ENSSHAG00000009736	ENSSHAG00000009736.1	ENSSHAT00000011415	ENSSHAT00000011415.1				GL849679.1	581698	582244
ENSSHAG00000009737	ENSSHAG00000009737.1	ENSSHAT00000011416	ENSSHAT00000011416.1	MRAP2	ENSMODG00000018364	MRAP2	GL856916.1	582133	629218
ENSSHAG00000009738	ENSSHAG00000009738.1	ENSSHAT00000011417	ENSSHAT00000011417.1		ENSMODG00000001734		GL841419.1	582285	602756
ENSSHAG00000009739	ENSSHAG00000009739.1	ENSSHAT00000011418	ENSSHAT00000011418.1	FUT7	ENSMODG00000017272		GL834658.1	582352	583131
ENSSHAG00000009740	ENSSHAG00000009740.1	ENSSHAT00000011419	ENSSHAT00000011419.1	TENM2	ENSMODG00000007437		GL834618.1	582897	584486
ENSSHAG00000009741	ENSSHAG00000009741.1	ENSSHAT00000011420	ENSSHAT00000011420.1	S100A14	ENSMODG00000017390	S100A14	GL856821.1	582988	584494
ENSSHAG00000009742	ENSSHAG00000009742.1	ENSSHAT00000011421	ENSSHAT00000011421.1			LMOD2	GL861652.1	583142	593961
ENSSHAG00000009743	ENSSHAG00000009743.1	ENSSHAT00000011422	ENSSHAT00000011422.1	C5orf34	ENSMODG00000020277	C5orf34	GL841293.1	583175	605883
ENSSHAG00000009744	ENSSHAG00000009744.1	ENSSHAT00000011423	ENSSHAT00000011423.1	AVIL	ENSMODG00000021352	AVIL	GL861726.1	583570	606072
ENSSHAG00000009745	ENSSHAG00000009745.1	ENSSHAT00000011424	ENSSHAT00000011424.1				GL856873.1	583811	586030
ENSSHAG00000009746	ENSSHAG00000009746.1	ENSSHAT00000011425	ENSSHAT00000011425.1	NUP35	ENSMODG00000010578	NUP35	GL849640.1	583939	632685
ENSSHAG00000009747	ENSSHAG00000009747.1	ENSSHAT00000011426	ENSSHAT00000011426.1		ENSMODG00000006616		GL849522.1	583957	613014
ENSSHAG00000009748	ENSSHAG00000009748.1	ENSSHAT00000011427	ENSSHAT00000011427.1				GL861666.1	583988	636150
ENSSHAG00000009748	ENSSHAG00000009748.1	ENSSHAT00000011428	ENSSHAT00000011428.1				GL861666.1	583988	636150
ENSSHAG00000009749	ENSSHAG00000009749.1	ENSSHAT00000011429	ENSSHAT00000011429.1		ENSMODG00000039936		GL857002.1	584108	587330
ENSSHAG00000009750	ENSSHAG00000009750.1	ENSSHAT00000011430	ENSSHAT00000011430.1	ELMO2	ENSMODG00000013914	ELMO2	GL834651.1	584144	629240
ENSSHAG00000009750	ENSSHAG00000009750.1	ENSSHAT00000011431	ENSSHAT00000011431.1	ELMO2	ENSMODG00000013914	ELMO2	GL834651.1	584144	629240
ENSSHAG00000009751	ENSSHAG00000009751.1	ENSSHAT00000011432	ENSSHAT00000011432.1	FGFR3	ENSMODG00000004268	FGFR3	GL864875.1	584248	673961
ENSSHAG00000009751	ENSSHAG00000009751.1	ENSSHAT00000011433	ENSSHAT00000011433.1	FGFR3	ENSMODG00000004268	FGFR3	GL864875.1	584248	673961
ENSSHAG00000009752	ENSSHAG00000009752.1	ENSSHAT00000011434	ENSSHAT00000011434.1	FAM184A	ENSMODG00000017783	FAM184A	GL856941.1	584321	680728
ENSSHAG00000009752	ENSSHAG00000009752.1	ENSSHAT00000011435	ENSSHAT00000011435.1	FAM184A	ENSMODG00000017783	FAM184A	GL856941.1	584321	680728
ENSSHAG00000009753	ENSSHAG00000009753.1	ENSSHAT00000011436	ENSSHAT00000011436.1		ENSMODG00000017423		GL867609.1	584356	585976
ENSSHAG00000009754	ENSSHAG00000009754.1	ENSSHAT00000011437	ENSSHAT00000011437.1				GL834630.1	584357	585376
ENSSHAG00000009755	ENSSHAG00000009755.1	ENSSHAT00000011438	ENSSHAT00000011438.1			CBX5	GL861729.1	584509	614731
ENSSHAG00000009756	ENSSHAG00000009756.1	ENSSHAT00000011439	ENSSHAT00000011439.1	DSC2	ENSMODG00000011103	DSC2	GL841268.1	584623	606180
ENSSHAG00000009757	ENSSHAG00000009757.1	ENSSHAT00000011440	ENSSHAT00000011440.1	FAM199X	ENSMODG00000010141	FAM199X	GL867589.1	584654	599135
ENSSHAG00000009758	ENSSHAG00000009758.1	ENSSHAT00000011441	ENSSHAT00000011441.1	PDGFD	ENSMODG00000000942	PDGFD	GL849678.1	584748	683191
ENSSHAG00000009759	ENSSHAG00000009759.1	ENSSHAT00000011442	ENSSHAT00000011442.1	SNCAIP	ENSMODG00000013460		GL841514.1	584826	588425
ENSSHAG00000009760	ENSSHAG00000009760.1	ENSSHAT00000011443	ENSSHAT00000011443.1		ENSMODG00000004570		GL867616.1	584937	627627
ENSSHAG00000009761	ENSSHAG00000009761.1	ENSSHAT00000011444	ENSSHAT00000011444.1	NDUFS4	ENSMODG00000044297	NDUFS4	GL841158.1	584979	719161
ENSSHAG00000009762	ENSSHAG00000009762.1	ENSSHAT00000011445	ENSSHAT00000011445.1	CCDC189	ENSMODG00000001627	CCDC189	GL841507.1	585325	588710
ENSSHAG00000009763	ENSSHAG00000009763.1	ENSSHAT00000011446	ENSSHAT00000011446.1	C2CD2L	ENSMODG00000013280	C2CD2L	GL849657.1	585448	595662
ENSSHAG00000009764	ENSSHAG00000009764.1	ENSSHAT00000011447	ENSSHAT00000011447.1		ENSMODG00000002759		GL834452.1	585637	594534
ENSSHAG00000009765	ENSSHAG00000009765.1	ENSSHAT00000011448	ENSSHAT00000011448.1	APPL2	ENSMODG00000001978	APPL2	GL861604.1	585749	665060
ENSSHAG00000009766	ENSSHAG00000009766.1	ENSSHAT00000011449	ENSSHAT00000011449.1	CMPK1	ENSMODG00000001470	CMPK1	GL856725.1	585752	616049
ENSSHAG00000009767	ENSSHAG00000009767.1	ENSSHAT00000011450	ENSSHAT00000011450.1	PDGFRL	ENSMODG00000019049	PDGFRL	GL864737.1	585891	636834
ENSSHAG00000009767	ENSSHAG00000009767.1	ENSSHAT00000011451	ENSSHAT00000011451.1	PDGFRL	ENSMODG00000019049	PDGFRL	GL864737.1	585891	636834
ENSSHAG00000009768	ENSSHAG00000009768.1	ENSSHAT00000011452	ENSSHAT00000011452.1	OGFOD1	ENSMODG00000013378	OGFOD1	GL834650.1	585897	633388
ENSSHAG00000009768	ENSSHAG00000009768.1	ENSSHAT00000011453	ENSSHAT00000011453.1	OGFOD1	ENSMODG00000013378	OGFOD1	GL834650.1	585897	633388
ENSSHAG00000009769	ENSSHAG00000009769.1	ENSSHAT00000011454	ENSSHAT00000011454.1		ENSMODG00000000430		GL841448.1	586062	597855
ENSSHAG00000009770	ENSSHAG00000009770.1	ENSSHAT00000011455	ENSSHAT00000011455.1	ZBTB33	ENSMODG00000025434	ZBTB33	GL867590.1	586357	588354
ENSSHAG00000009771	ENSSHAG00000009771.1	ENSSHAT00000011456	ENSSHAT00000011456.1	NEIL2	ENSMODG00000012005		GL834701.1	586443	590518
ENSSHAG00000009772	ENSSHAG00000009772.1	ENSSHAT00000011457	ENSSHAT00000011457.1	CDC20B	ENSMODG00000019478		GL841159.1	586462	598800
ENSSHAG00000009773	ENSSHAG00000009773.1	ENSSHAT00000011458	ENSSHAT00000011458.1	NEUROD6	ENSMODG00000013299	NEUROD6	GL841625.1	586758	587771
ENSSHAG00000009774	ENSSHAG00000009774.1	ENSSHAT00000011459	ENSSHAT00000011459.1	CCDC149	ENSMODG00000000471	CCDC149	GL864863.1	586864	666078
ENSSHAG00000009774	ENSSHAG00000009774.1	ENSSHAT00000011460	ENSSHAT00000011460.1	CCDC149	ENSMODG00000000471	CCDC149	GL864863.1	586864	666078
ENSSHAG00000009775	ENSSHAG00000009775.1	ENSSHAT00000011461	ENSSHAT00000011461.1	TRAF3IP2	ENSMODG00000017907	TRAF3IP2	GL856938.1	587031	653183
ENSSHAG00000009775	ENSSHAG00000009775.1	ENSSHAT00000011462	ENSSHAT00000011462.1	TRAF3IP2	ENSMODG00000017907	TRAF3IP2	GL856938.1	587031	653183
ENSSHAG00000009776	ENSSHAG00000009776.1	ENSSHAT00000011463	ENSSHAT00000011463.1			MAPK11	GL861545.1	587106	595213
ENSSHAG00000009777	ENSSHAG00000009777.1	ENSSHAT00000011464	ENSSHAT00000011464.1	DRAXIN	ENSMODG00000010996	DRAXIN	GL849747.1	587464	609087
ENSSHAG00000009777	ENSSHAG00000009777.1	ENSSHAT00000011465	ENSSHAT00000011465.1	DRAXIN	ENSMODG00000010996	DRAXIN	GL849747.1	587464	609087
ENSSHAG00000009778	ENSSHAG00000009778.1	ENSSHAT00000011466	ENSSHAT00000011466.1	S100A13	ENSMODG00000017387	S100A13	GL856821.1	587810	596979
ENSSHAG00000009779	ENSSHAG00000009779.1	ENSSHAT00000011467	ENSSHAT00000011467.1	SLC15A3	ENSMODG00000006514	SLC15A3	GL864905.1	587982	599385
ENSSHAG00000009780	ENSSHAG00000009780.1	ENSSHAT00000011468	ENSSHAT00000011468.1		ENSMODG00000045953		GL849626.1	588157	591907
ENSSHAG00000009781	ENSSHAG00000009781.1	ENSSHAT00000011469	ENSSHAT00000011469.1	MAP1LC3C	ENSMODG00000006842	MAP1LC3C	GL856799.1	588357	594319
ENSSHAG00000009782	ENSSHAG00000009782.1	ENSSHAT00000011470	ENSSHAT00000011470.1				GL841555.1	588411	589235
ENSSHAG00000009783	ENSSHAG00000009783.1	ENSSHAT00000011471	ENSSHAT00000011471.1	CASP9	ENSMODG00000003612	CASP9	GL849754.1	588452	620266
ENSSHAG00000009784	ENSSHAG00000009784.1	ENSSHAT00000011472	ENSSHAT00000011472.1		ENSMODG00000011116		GL867621.1	588463	610538
ENSSHAG00000009784	ENSSHAG00000009784.1	ENSSHAT00000011473	ENSSHAT00000011473.1		ENSMODG00000011116		GL867621.1	588463	610538
ENSSHAG00000009785	ENSSHAG00000009785.1	ENSSHAT00000011474	ENSSHAT00000011474.1				GL834495.1	588615	589559
ENSSHAG00000009786	ENSSHAG00000009786.1	ENSSHAT00000011475	ENSSHAT00000011475.1	FMC1	ENSMODG00000013750		GL861661.1	588790	590453
ENSSHAG00000009787	ENSSHAG00000009787.1	ENSSHAT00000011476	ENSSHAT00000011476.1				GL841258.1	588974	684603
ENSSHAG00000009788	ENSSHAG00000009788.1	ENSSHAT00000011477	ENSSHAT00000011477.1				GL864833.1	589081	589770
ENSSHAG00000009789	ENSSHAG00000009789.1	ENSSHAT00000011478	ENSSHAT00000011478.1	FBH1	ENSMODG00000018516	FBH1	GL861620.1	589200	680969
ENSSHAG00000009790	ENSSHAG00000009790.1	ENSSHAT00000011479	ENSSHAT00000011479.1	OTOA	ENSMODG00000007815	OTOA	GL841496.1	589397	665921
ENSSHAG00000009790	ENSSHAG00000009790.1	ENSSHAT00000011480	ENSSHAT00000011480.1	OTOA	ENSMODG00000007815	OTOA	GL841496.1	589397	665921
ENSSHAG00000009791	ENSSHAG00000009791.1	ENSSHAT00000011481	ENSSHAT00000011481.1		ENSMODG00000013291		GL857012.1	589405	590413
ENSSHAG00000009792	ENSSHAG00000009792.1	ENSSHAT00000011482	ENSSHAT00000011482.1	RNF40	ENSMODG00000001668	RNF40	GL841507.1	589486	601228
ENSSHAG00000009792	ENSSHAG00000009792.1	ENSSHAT00000011483	ENSSHAT00000011483.1	RNF40	ENSMODG00000001668	RNF40	GL841507.1	589486	601228
ENSSHAG00000009793	ENSSHAG00000009793.1	ENSSHAT00000011484	ENSSHAT00000011484.1	MARK1	ENSMODG00000004622	MARK1	GL856790.1	589604	673460
ENSSHAG00000009794	ENSSHAG00000009794.1	ENSSHAT00000011485	ENSSHAT00000011485.1		ENSMODG00000020813		GL864964.1	589877	600265
ENSSHAG00000009795	ENSSHAG00000009795.1	ENSSHAT00000011486	ENSSHAT00000011486.1	BMPR2	ENSMODG00000016287	BMPR2	GL849902.1	589909	659548
ENSSHAG00000009795	ENSSHAG00000009795.1	ENSSHAT00000011487	ENSSHAT00000011487.1	BMPR2	ENSMODG00000016287	BMPR2	GL849902.1	589909	659548
ENSSHAG00000009796	ENSSHAG00000009796.1	ENSSHAT00000011488	ENSSHAT00000011488.1	PLXNB3	ENSMODG00000008407	PLXNB3	GL867579.1	590090	634456
ENSSHAG00000009797	ENSSHAG00000009797.1	ENSSHAT00000011489	ENSSHAT00000011489.1	GTF2E2	ENSMODG00000019005	GTF2E2	GL864736.1	590210	613658
ENSSHAG00000009798	ENSSHAG00000009798.1	ENSSHAT00000011490	ENSSHAT00000011490.1		ENSMODG00000018314		GL856918.1	590456	656056
ENSSHAG00000009799	ENSSHAG00000009799.1	ENSSHAT00000011491	ENSSHAT00000011491.1	LANCL3	ENSMODG00000021112	LANCL3	GL849547.1	590505	688505
ENSSHAG00000009800	ENSSHAG00000009800.1	ENSSHAT00000011492	ENSSHAT00000011492.1		ENSMODG00000016183		GL841555.1	590658	614527
ENSSHAG00000009800	ENSSHAG00000009800.1	ENSSHAT00000011493	ENSSHAT00000011493.1		ENSMODG00000016183		GL841555.1	590658	614527
ENSSHAG00000009800	ENSSHAG00000009800.1	ENSSHAT00000011494	ENSSHAT00000011494.1		ENSMODG00000016183		GL841555.1	590658	614527
ENSSHAG00000009801	ENSSHAG00000009801.1	ENSSHAT00000011495	ENSSHAT00000011495.1	RARB	ENSMODG00000014926	RARB	GL861703.1	590680	748945
ENSSHAG00000009802	ENSSHAG00000009802.1	ENSSHAT00000011496	ENSSHAT00000011496.1	DNAAF4	ENSMODG00000008053	DNAAF4	GL834491.1	591129	656474
ENSSHAG00000009802	ENSSHAG00000009802.1	ENSSHAT00000011497	ENSSHAT00000011497.1	DNAAF4	ENSMODG00000008053	DNAAF4	GL834491.1	591129	656474
ENSSHAG00000009803	ENSSHAG00000009803.1	ENSSHAT00000011498	ENSSHAT00000011498.1	SLC4A2	ENSMODG00000004225	SLC4A2	GL861667.1	591240	612887
ENSSHAG00000009804	ENSSHAG00000009804.1	ENSSHAT00000011499	ENSSHAT00000011499.1		ENSMODG00000020512	DLG1	GL850009.1	591492	717214
ENSSHAG00000009805	ENSSHAG00000009805.1	ENSSHAT00000011500	ENSSHAT00000011500.1		ENSMODG00000006862		GL849728.1	591626	738619
ENSSHAG00000009805	ENSSHAG00000009805.1	ENSSHAT00000011500	ENSSHAT00000011500.1		ENSMODG00000045071		GL849728.1	591626	738619
ENSSHAG00000009806	ENSSHAG00000009806.1	ENSSHAT00000011501	ENSSHAT00000011501.1	CDC123	ENSMODG00000016826	CDC123	GL861628.1	592286	678829
ENSSHAG00000009807	ENSSHAG00000009807.1	ENSSHAT00000011502	ENSSHAT00000011502.1				GL849702.1	592289	676370
ENSSHAG00000009807	ENSSHAG00000009807.1	ENSSHAT00000011503	ENSSHAT00000011503.1				GL849702.1	592289	676370
ENSSHAG00000009808	ENSSHAG00000009808.1	ENSSHAT00000011504	ENSSHAT00000011504.1	MRPL44	ENSMODG00000045954	MRPL44	GL849910.1	592561	601200
ENSSHAG00000009809	ENSSHAG00000009809.1	ENSSHAT00000011505	ENSSHAT00000011505.1	TBC1D9B	ENSMODG00000003882	TBC1D9B	GL834625.1	592626	629589
ENSSHAG00000009809	ENSSHAG00000009809.1	ENSSHAT00000011506	ENSSHAT00000011506.1	TBC1D9B	ENSMODG00000003882	TBC1D9B	GL834625.1	592626	629589
ENSSHAG00000009810	ENSSHAG00000009810.1	ENSSHAT00000011507	ENSSHAT00000011507.1		ENSMODG00000009859		GL857005.1	592626	714161
ENSSHAG00000009811	ENSSHAG00000009811.1	ENSSHAT00000011508	ENSSHAT00000011508.1				GL864900.1	592691	593620
ENSSHAG00000009812	ENSSHAG00000009812.1	ENSSHAT00000011509	ENSSHAT00000011509.1	CEMIP	ENSMODG00000019403	CEMIP	GL834469.1	592957	704858
ENSSHAG00000009812	ENSSHAG00000009812.1	ENSSHAT00000011510	ENSSHAT00000011510.1	CEMIP	ENSMODG00000019403	CEMIP	GL834469.1	592957	704858
ENSSHAG00000009813	ENSSHAG00000009813.1	ENSSHAT00000011511	ENSSHAT00000011511.1		ENSMODG00000019273		GL864746.1	593198	596479
ENSSHAG00000009814	ENSSHAG00000009814.1	ENSSHAT00000011512	ENSSHAT00000011512.1				GL834614.1	593337	594121
ENSSHAG00000009815	ENSSHAG00000009815.1	ENSSHAT00000011513	ENSSHAT00000011513.1	EIF2S1	ENSMODG00000009911	EIF2S1	GL834549.1	593919	604985
ENSSHAG00000009816	ENSSHAG00000009816.1	ENSSHAT00000011514	ENSSHAT00000011514.1	ETV4	ENSMODG00000015187		GL856823.1	593956	596058
ENSSHAG00000009817	ENSSHAG00000009817.1	ENSSHAT00000011515	ENSSHAT00000011515.1		ENSMODG00000025737		GL834541.1	594046	808700
ENSSHAG00000009817	ENSSHAG00000009817.1	ENSSHAT00000011516	ENSSHAT00000011516.1		ENSMODG00000025737		GL834541.1	594046	808700
ENSSHAG00000009818	ENSSHAG00000009818.1	ENSSHAT00000011517	ENSSHAT00000011517.1	EXTL2	ENSMODG00000003453	EXTL2	GL856981.1	594251	622726
ENSSHAG00000009819	ENSSHAG00000009819.1	ENSSHAT00000011518	ENSSHAT00000011518.1	PRDM11	ENSMODG00000019874		GL864893.1	594377	665290
ENSSHAG00000009820	ENSSHAG00000009820.1	ENSSHAT00000011519	ENSSHAT00000011519.1	TMEM255A	ENSMODG00000010283	TMEM255A	GL867590.1	594391	681150
ENSSHAG00000009820	ENSSHAG00000009820.1	ENSSHAT00000011520	ENSSHAT00000011520.1	TMEM255A	ENSMODG00000010283	TMEM255A	GL867590.1	594391	681150
ENSSHAG00000009821	ENSSHAG00000009821.1	ENSSHAT00000011521	ENSSHAT00000011521.1		ENSMODG00000016552	TOB2	GL861723.1	594479	595123
ENSSHAG00000009822	ENSSHAG00000009822.1	ENSSHAT00000011522	ENSSHAT00000011522.1		ENSMODG00000013714	FGFR1OP2	GL861623.1	594526	614355
ENSSHAG00000009822	ENSSHAG00000009822.1	ENSSHAT00000011523	ENSSHAT00000011523.1		ENSMODG00000013714	FGFR1OP2	GL861623.1	594526	614355
ENSSHAG00000009822	ENSSHAG00000009822.1	ENSSHAT00000011522	ENSSHAT00000011522.1		ENSMODG00000023076	FGFR1OP2	GL861623.1	594526	614355
ENSSHAG00000009822	ENSSHAG00000009822.1	ENSSHAT00000011523	ENSSHAT00000011523.1		ENSMODG00000023076	FGFR1OP2	GL861623.1	594526	614355
ENSSHAG00000009822	ENSSHAG00000009822.1	ENSSHAT00000011522	ENSSHAT00000011522.1		ENSMODG00000012734	FGFR1OP2	GL861623.1	594526	614355
ENSSHAG00000009822	ENSSHAG00000009822.1	ENSSHAT00000011523	ENSSHAT00000011523.1		ENSMODG00000012734	FGFR1OP2	GL861623.1	594526	614355
ENSSHAG00000009822	ENSSHAG00000009822.1	ENSSHAT00000011522	ENSSHAT00000011522.1		ENSMODG00000016618	FGFR1OP2	GL861623.1	594526	614355
ENSSHAG00000009822	ENSSHAG00000009822.1	ENSSHAT00000011523	ENSSHAT00000011523.1		ENSMODG00000016618	FGFR1OP2	GL861623.1	594526	614355
ENSSHAG00000009823	ENSSHAG00000009823.1	ENSSHAT00000011524	ENSSHAT00000011524.1		ENSMODG00000006360	QSOX1	GL856755.1	594703	650681
ENSSHAG00000009824	ENSSHAG00000009824.1	ENSSHAT00000011525	ENSSHAT00000011525.1	DNAJA3	ENSMODG00000016357	DNAJA3	GL841550.1	594747	625676
ENSSHAG00000009825	ENSSHAG00000009825.1	ENSSHAT00000011526	ENSSHAT00000011526.1	MPPE1	ENSMODG00000021433	MPPE1	GL841317.1	594873	635534
ENSSHAG00000009826	ENSSHAG00000009826.1	ENSSHAT00000011527	ENSSHAT00000011527.1	IPMK	ENSMODG00000016132	IPMK	GL834441.1	595115	637758
ENSSHAG00000009827	ENSSHAG00000009827.1	ENSSHAT00000011528	ENSSHAT00000011528.1	SLC29A2	ENSMODG00000008339	SLC29A2	GL864912.1	595214	601530
ENSSHAG00000009828	ENSSHAG00000009828.1	ENSSHAT00000011529	ENSSHAT00000011529.1				GL841455.1	595592	596286
ENSSHAG00000009829	ENSSHAG00000009829.1	ENSSHAT00000011530	ENSSHAT00000011530.1			TMEM116	GL841446.1	595638	651714
ENSSHAG00000009829	ENSSHAG00000009829.1	ENSSHAT00000011531	ENSSHAT00000011531.1			TMEM116	GL841446.1	595638	651714
ENSSHAG00000009830	ENSSHAG00000009830.1	ENSSHAT00000011532	ENSSHAT00000011532.1	CDH7	ENSMODG00000021410	CDH7	GL841323.1	595857	821533
ENSSHAG00000009831	ENSSHAG00000009831.1	ENSSHAT00000011533	ENSSHAT00000011533.1	CSDE1	ENSMODG00000004685	CSDE1	GL856993.1	595999	633713
ENSSHAG00000009831	ENSSHAG00000009831.1	ENSSHAT00000011534	ENSSHAT00000011534.1	CSDE1	ENSMODG00000004685	CSDE1	GL856993.1	595999	633713
ENSSHAG00000009832	ENSSHAG00000009832.1	ENSSHAT00000011535	ENSSHAT00000011535.1	SPINK4	ENSMODG00000004031	SPINK4	GL841471.1	596035	605548
ENSSHAG00000009833	ENSSHAG00000009833.1	ENSSHAT00000011536	ENSSHAT00000011536.1				GL867621.1	596228	596473
ENSSHAG00000009834	ENSSHAG00000009834.1	ENSSHAT00000011537	ENSSHAT00000011537.1	KIRREL2	ENSMODG00000014051		GL849758.1	596373	619297
ENSSHAG00000009835	ENSSHAG00000009835.1	ENSSHAT00000011538	ENSSHAT00000011538.1				GL849836.1	596382	597955
ENSSHAG00000009836	ENSSHAG00000009836.1	ENSSHAT00000011539	ENSSHAT00000011539.1	STC2	ENSMODG00000006146	STC2	GL834620.1	596431	616519
ENSSHAG00000009837	ENSSHAG00000009837.1	ENSSHAT00000011540	ENSSHAT00000011540.1				GL849790.1	596512	597222
